"","Wardcode","hhSocialRented","JobSeekers","Noqual","Carsperhousehold"
"391","00AYGA",32.2,7.9,13.8,0.5
"392","00AYGB",23.7,3.8,8.3,0.7
"393","00AYGC",29.7,5.1,10.9,0.5
"394","00AYGD",59.1,15,17.6,0.4
"395","00AYGE",37.4,6.6,13.3,0.4
"396","00AYGG",31.8,8.5,12.2,0.5
"397","00AYGH",30.6,9.1,15.9,0.6
"398","00AYGJ",41.4,7.3,13.9,0.4
"399","00AYGK",34.8,6,13,0.4
"400","00AYGL",47.1,8.9,16.3,0.4
"401","00AYGM",14,7.3,12.6,0.6
"402","00AYGN",45,9.2,16.2,0.4
"403","00AYGP",24.9,6.5,13.5,0.6
"404","00AYGQ",15.5,7.6,17,0.8
"405","00AYGR",20.8,6.2,13.9,0.6
"406","00AYGS",39.1,5.9,14.2,0.6
"407","00AYGT",27.1,5.9,12.7,0.7
"408","00AYGU",43.2,11,14.7,0.5
"409","00AYGW",53.2,11,16,0.4
"410","00AZGD",44,9.5,25.4,0.7
"411","00AZGE",28.8,4.7,13.2,0.7
"412","00AZGF",30.1,8.4,11.8,0.5
"413","00AZGG",12.6,6.5,17.3,0.9
"414","00AZGH",16.8,5.9,15.3,0.7
"415","00AZGJ",40.9,9.9,30.2,0.7
"416","00AZGK",57.3,10.2,19.1,0.4
"417","00AZGL",26.4,7.6,13.9,0.7
"418","00AZGM",26.7,7.1,22.5,0.9
"419","00AZGN",23.6,6.1,12.8,0.7
"420","00AZGP",21.2,6.3,14.6,0.7
"421","00AZGQ",27.4,8.2,16.1,0.5
"422","00AZGR",40.5,10,17.9,0.5
"423","00AZGS",26.5,7.1,16.2,0.7
"424","00AZGT",26.9,9.2,18,0.6
"425","00AZGU",34.7,8,18.7,0.7
"426","00AZGW",36.6,8.2,14.4,0.6
"427","00AZGX",34.5,8.8,25.9,0.8
"428","00BAFX",14.1,2,10.1,0.7
"429","00BAFY",5.5,2.9,17,1.2
"430","00BAFZ",12.6,3.5,13.3,0.7
"431","00BAGA",36.9,10.1,24.5,0.7
